Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,0.1uF,
"C10, C11, C12, C5, C6, C7, C8, C9",0402,8,4.7µF,
"C13, C14",0402,2,12pF,
C15,0402,1,0.1µF,
"C3, C4",0402,2,1uF,
"D1, D2, D3",D_SOD-123,3,MBR0530,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,E-INK-FPC,
L1,0805,1,10µH,
Q1,SOT-23,1,BSS138,
R1,0402,1,0.47Ω,
"R2, R3",0402,2,5.1kΩ,
"R4, R6",0402,2,10kΩ,
R5,0402,1,1kΩ,
"R7, R8",0402,2,27Ω,
SW1,SW_SPST_PTS645Sx43SMTR92,1,BOOTSEL,
SW2,SW_SPST_PTS645Sx43SMTR92,1,RUN,
SW3,SW_SPST_PTS645Sx43SMTR92,1,W,
SW4,SW_SPST_PTS645Sx43SMTR92,1,A,
SW5,SW_SPST_PTS645Sx43SMTR92,1,S,
SW6,SW_SPST_PTS645Sx43SMTR92,1,D,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,
