Designator,Mid X,Mid Y,Rotation,Layer
C1,143.99234,-90.866205,0.0,top
C10,127.793946,-103.003375,0.0,bottom
C11,127.805,-103.975,0.0,bottom
C12,127.805,-104.89,0.0,bottom
C13,146.995,-119.19,0.0,bottom
C14,144.746206,-119.921849,270.0,bottom
C15,146.714973,-99.366491,0.0,bottom
C2,122.826115,-108.34176,180.0,top
C3,127.785818,-108.680853,180.0,bottom
C4,127.786252,-107.724755,180.0,bottom
C5,133.478622,-113.793941,90.0,bottom
C6,127.543821,-112.680086,0.0,bottom
C7,127.546672,-113.631288,0.0,bottom
C8,127.80511,-106.761326,0.0,bottom
C9,127.801746,-105.819807,0.0,bottom
D1,122.375,-111.92,270.0,top
D2,135.884407,-111.690762,0.0,bottom
D3,132.309834,-110.4281,90.0,bottom
J1,142.091422,-89.44,180.0,bottom
J2,123.575,-109.55,90.0,bottom
L1,135.817003,-115.215445,0.0,bottom
Q1,132.075,-115.295,0.0,bottom
R1,130.234518,-113.293411,0.0,bottom
R2,140.826874,-95.187962,270.0,bottom
R3,143.88741,-95.193474,270.0,bottom
R4,157.923221,-99.358715,0.0,bottom
R5,125.203031,-121.806187,0.0,top
R6,133.499675,-131.541896,90.0,top
R7,141.855456,-95.202073,270.0,bottom
R8,142.8701,-95.177867,90.0,bottom
SW1,122.725,-127.41,90.0,top
SW2,129.557221,-127.410998,90.0,top
SW3,163.708374,-122.766412,0.0,bottom
SW4,173.950849,-122.754611,0.0,bottom
SW5,173.929622,-129.311293,0.0,bottom
SW6,163.704554,-129.316294,0.0,bottom
U1,146.32,-110.29,90.0,bottom
U2,138.28,-96.302995,90.0,bottom
U3,152.325,-101.365,270.0,bottom
Y1,146.455,-117.25,180.0,bottom
